id;nom;durée;style;niveau;audience;cible;mode
hiit_full_body_solo_debutant_10;HIIT Full body Solo 10 min;10 min;hiit;Débutant;Solo;Full body;terrain hardcore
hiit_full_body_solo_debutant_15;HIIT Full body Solo 15 min;15 min;hiit;Débutant;Solo;Full body;terrain hardcore
hiit_full_body_solo_debutant_20;HIIT Full body Solo 20 min;20 min;hiit;Débutant;Solo;Full body;terrain hardcore
hiit_full_body_solo_debutant_30;HIIT Full body Solo 30 min;30 min;hiit;Débutant;Solo;Full body;terrain hardcore
hiit_full_body_solo_debutant_45;HIIT Full body Solo 45 min;45 min;hiit;Débutant;Solo;Full body;terrain hardcore
hiit_full_body_groupe_debutant_10;HIIT Full body Groupe 10 min;10 min;hiit;Débutant;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_debutant_15;HIIT Full body Groupe 15 min;15 min;hiit;Débutant;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_debutant_20;HIIT Full body Groupe 20 min;20 min;hiit;Débutant;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_debutant_30;HIIT Full body Groupe 30 min;30 min;hiit;Débutant;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_debutant_45;HIIT Full body Groupe 45 min;45 min;hiit;Débutant;Groupe;Full body;terrain hardcore
hiit_full_body_maison_debutant_10;HIIT Full body Maison 10 min;10 min;hiit;Débutant;Maison;Full body;terrain hardcore
hiit_full_body_maison_debutant_15;HIIT Full body Maison 15 min;15 min;hiit;Débutant;Maison;Full body;terrain hardcore
hiit_full_body_maison_debutant_20;HIIT Full body Maison 20 min;20 min;hiit;Débutant;Maison;Full body;terrain hardcore
hiit_full_body_maison_debutant_30;HIIT Full body Maison 30 min;30 min;hiit;Débutant;Maison;Full body;terrain hardcore
hiit_full_body_maison_debutant_45;HIIT Full body Maison 45 min;45 min;hiit;Débutant;Maison;Full body;terrain hardcore
hiit_full_body_salle_debutant_10;HIIT Full body Salle 10 min;10 min;hiit;Débutant;Salle;Full body;terrain hardcore
hiit_full_body_salle_debutant_15;HIIT Full body Salle 15 min;15 min;hiit;Débutant;Salle;Full body;terrain hardcore
hiit_full_body_salle_debutant_20;HIIT Full body Salle 20 min;20 min;hiit;Débutant;Salle;Full body;terrain hardcore
hiit_full_body_salle_debutant_30;HIIT Full body Salle 30 min;30 min;hiit;Débutant;Salle;Full body;terrain hardcore
hiit_full_body_salle_debutant_45;HIIT Full body Salle 45 min;45 min;hiit;Débutant;Salle;Full body;terrain hardcore
hiit_full_body_exterieur_debutant_10;HIIT Full body Extérieur 10 min;10 min;hiit;Débutant;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_debutant_15;HIIT Full body Extérieur 15 min;15 min;hiit;Débutant;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_debutant_20;HIIT Full body Extérieur 20 min;20 min;hiit;Débutant;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_debutant_30;HIIT Full body Extérieur 30 min;30 min;hiit;Débutant;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_debutant_45;HIIT Full body Extérieur 45 min;45 min;hiit;Débutant;Extérieur;Full body;terrain hardcore
hiit_full_body_coach_debutant_10;HIIT Full body Coach 10 min;10 min;hiit;Débutant;Coach;Full body;terrain hardcore
hiit_full_body_coach_debutant_15;HIIT Full body Coach 15 min;15 min;hiit;Débutant;Coach;Full body;terrain hardcore
hiit_full_body_coach_debutant_20;HIIT Full body Coach 20 min;20 min;hiit;Débutant;Coach;Full body;terrain hardcore
hiit_full_body_coach_debutant_30;HIIT Full body Coach 30 min;30 min;hiit;Débutant;Coach;Full body;terrain hardcore
hiit_full_body_coach_debutant_45;HIIT Full body Coach 45 min;45 min;hiit;Débutant;Coach;Full body;terrain hardcore
hiit_full_body_solo_intermediaire_10;HIIT Full body Solo 10 min;10 min;hiit;Intermédiaire;Solo;Full body;terrain hardcore
hiit_full_body_solo_intermediaire_15;HIIT Full body Solo 15 min;15 min;hiit;Intermédiaire;Solo;Full body;terrain hardcore
hiit_full_body_solo_intermediaire_20;HIIT Full body Solo 20 min;20 min;hiit;Intermédiaire;Solo;Full body;terrain hardcore
hiit_full_body_solo_intermediaire_30;HIIT Full body Solo 30 min;30 min;hiit;Intermédiaire;Solo;Full body;terrain hardcore
hiit_full_body_solo_intermediaire_45;HIIT Full body Solo 45 min;45 min;hiit;Intermédiaire;Solo;Full body;terrain hardcore
hiit_full_body_groupe_intermediaire_10;HIIT Full body Groupe 10 min;10 min;hiit;Intermédiaire;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_intermediaire_15;HIIT Full body Groupe 15 min;15 min;hiit;Intermédiaire;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_intermediaire_20;HIIT Full body Groupe 20 min;20 min;hiit;Intermédiaire;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_intermediaire_30;HIIT Full body Groupe 30 min;30 min;hiit;Intermédiaire;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_intermediaire_45;HIIT Full body Groupe 45 min;45 min;hiit;Intermédiaire;Groupe;Full body;terrain hardcore
hiit_full_body_maison_intermediaire_10;HIIT Full body Maison 10 min;10 min;hiit;Intermédiaire;Maison;Full body;terrain hardcore
hiit_full_body_maison_intermediaire_15;HIIT Full body Maison 15 min;15 min;hiit;Intermédiaire;Maison;Full body;terrain hardcore
hiit_full_body_maison_intermediaire_20;HIIT Full body Maison 20 min;20 min;hiit;Intermédiaire;Maison;Full body;terrain hardcore
hiit_full_body_maison_intermediaire_30;HIIT Full body Maison 30 min;30 min;hiit;Intermédiaire;Maison;Full body;terrain hardcore
hiit_full_body_maison_intermediaire_45;HIIT Full body Maison 45 min;45 min;hiit;Intermédiaire;Maison;Full body;terrain hardcore
hiit_full_body_salle_intermediaire_10;HIIT Full body Salle 10 min;10 min;hiit;Intermédiaire;Salle;Full body;terrain hardcore
hiit_full_body_salle_intermediaire_15;HIIT Full body Salle 15 min;15 min;hiit;Intermédiaire;Salle;Full body;terrain hardcore
hiit_full_body_salle_intermediaire_20;HIIT Full body Salle 20 min;20 min;hiit;Intermédiaire;Salle;Full body;terrain hardcore
hiit_full_body_salle_intermediaire_30;HIIT Full body Salle 30 min;30 min;hiit;Intermédiaire;Salle;Full body;terrain hardcore
hiit_full_body_salle_intermediaire_45;HIIT Full body Salle 45 min;45 min;hiit;Intermédiaire;Salle;Full body;terrain hardcore
hiit_full_body_exterieur_intermediaire_10;HIIT Full body Extérieur 10 min;10 min;hiit;Intermédiaire;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_intermediaire_15;HIIT Full body Extérieur 15 min;15 min;hiit;Intermédiaire;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_intermediaire_20;HIIT Full body Extérieur 20 min;20 min;hiit;Intermédiaire;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_intermediaire_30;HIIT Full body Extérieur 30 min;30 min;hiit;Intermédiaire;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_intermediaire_45;HIIT Full body Extérieur 45 min;45 min;hiit;Intermédiaire;Extérieur;Full body;terrain hardcore
hiit_full_body_coach_intermediaire_10;HIIT Full body Coach 10 min;10 min;hiit;Intermédiaire;Coach;Full body;terrain hardcore
hiit_full_body_coach_intermediaire_15;HIIT Full body Coach 15 min;15 min;hiit;Intermédiaire;Coach;Full body;terrain hardcore
hiit_full_body_coach_intermediaire_20;HIIT Full body Coach 20 min;20 min;hiit;Intermédiaire;Coach;Full body;terrain hardcore
hiit_full_body_coach_intermediaire_30;HIIT Full body Coach 30 min;30 min;hiit;Intermédiaire;Coach;Full body;terrain hardcore
hiit_full_body_coach_intermediaire_45;HIIT Full body Coach 45 min;45 min;hiit;Intermédiaire;Coach;Full body;terrain hardcore
hiit_full_body_solo_avance_10;HIIT Full body Solo 10 min;10 min;hiit;Avancé;Solo;Full body;terrain hardcore
hiit_full_body_solo_avance_15;HIIT Full body Solo 15 min;15 min;hiit;Avancé;Solo;Full body;terrain hardcore
hiit_full_body_solo_avance_20;HIIT Full body Solo 20 min;20 min;hiit;Avancé;Solo;Full body;terrain hardcore
hiit_full_body_solo_avance_30;HIIT Full body Solo 30 min;30 min;hiit;Avancé;Solo;Full body;terrain hardcore
hiit_full_body_solo_avance_45;HIIT Full body Solo 45 min;45 min;hiit;Avancé;Solo;Full body;terrain hardcore
hiit_full_body_groupe_avance_10;HIIT Full body Groupe 10 min;10 min;hiit;Avancé;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_avance_15;HIIT Full body Groupe 15 min;15 min;hiit;Avancé;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_avance_20;HIIT Full body Groupe 20 min;20 min;hiit;Avancé;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_avance_30;HIIT Full body Groupe 30 min;30 min;hiit;Avancé;Groupe;Full body;terrain hardcore
hiit_full_body_groupe_avance_45;HIIT Full body Groupe 45 min;45 min;hiit;Avancé;Groupe;Full body;terrain hardcore
hiit_full_body_maison_avance_10;HIIT Full body Maison 10 min;10 min;hiit;Avancé;Maison;Full body;terrain hardcore
hiit_full_body_maison_avance_15;HIIT Full body Maison 15 min;15 min;hiit;Avancé;Maison;Full body;terrain hardcore
hiit_full_body_maison_avance_20;HIIT Full body Maison 20 min;20 min;hiit;Avancé;Maison;Full body;terrain hardcore
hiit_full_body_maison_avance_30;HIIT Full body Maison 30 min;30 min;hiit;Avancé;Maison;Full body;terrain hardcore
hiit_full_body_maison_avance_45;HIIT Full body Maison 45 min;45 min;hiit;Avancé;Maison;Full body;terrain hardcore
hiit_full_body_salle_avance_10;HIIT Full body Salle 10 min;10 min;hiit;Avancé;Salle;Full body;terrain hardcore
hiit_full_body_salle_avance_15;HIIT Full body Salle 15 min;15 min;hiit;Avancé;Salle;Full body;terrain hardcore
hiit_full_body_salle_avance_20;HIIT Full body Salle 20 min;20 min;hiit;Avancé;Salle;Full body;terrain hardcore
hiit_full_body_salle_avance_30;HIIT Full body Salle 30 min;30 min;hiit;Avancé;Salle;Full body;terrain hardcore
hiit_full_body_salle_avance_45;HIIT Full body Salle 45 min;45 min;hiit;Avancé;Salle;Full body;terrain hardcore
hiit_full_body_exterieur_avance_10;HIIT Full body Extérieur 10 min;10 min;hiit;Avancé;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_avance_15;HIIT Full body Extérieur 15 min;15 min;hiit;Avancé;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_avance_20;HIIT Full body Extérieur 20 min;20 min;hiit;Avancé;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_avance_30;HIIT Full body Extérieur 30 min;30 min;hiit;Avancé;Extérieur;Full body;terrain hardcore
hiit_full_body_exterieur_avance_45;HIIT Full body Extérieur 45 min;45 min;hiit;Avancé;Extérieur;Full body;terrain hardcore
hiit_full_body_coach_avance_10;HIIT Full body Coach 10 min;10 min;hiit;Avancé;Coach;Full body;terrain hardcore
hiit_full_body_coach_avance_15;HIIT Full body Coach 15 min;15 min;hiit;Avancé;Coach;Full body;terrain hardcore
hiit_full_body_coach_avance_20;HIIT Full body Coach 20 min;20 min;hiit;Avancé;Coach;Full body;terrain hardcore
hiit_full_body_coach_avance_30;HIIT Full body Coach 30 min;30 min;hiit;Avancé;Coach;Full body;terrain hardcore
hiit_full_body_coach_avance_45;HIIT Full body Coach 45 min;45 min;hiit;Avancé;Coach;Full body;terrain hardcore
hiit_full_body_solo_expert_10;HIIT Full body Solo 10 min;10 min;hiit;Expert;Solo;Full body;terrain hardcore
hiit_full_body_solo_expert_15;HIIT Full body Solo 15 min;15 min;hiit;Expert;Solo;Full body;terrain hardcore
hiit_full_body_solo_expert_20;HIIT Full body Solo 20 min;20 min;hiit;Expert;Solo;Full body;terrain hardcore
hiit_full_body_solo_expert_30;HIIT Full body Solo 30 min;30 min;hiit;Expert;Solo;Full body;terrain hardcore
hiit_full_body_solo_expert_45;HIIT Full body Solo 45 min;45 min;hiit;Expert;Solo;Full body;terrain hardcore
